"time","V","Vadj","D","rho","H","I","normPW"
"2007-01-01 00:00:00",17.5,17.4098121420571,243.9626737,1.23224633678054,71.31392558,0.0857142857142857,100.016666666667
"2007-01-01 00:10:00",17.5,17.4155027419315,242.7679837,1.23345505398,74.61032629,0.0857142857142857,100.016666666667
"2007-01-01 00:20:00",17.2,17.1181899976215,244.9351621,1.23372286392342,72.6859659,0.0872093023255814,100.013333333333
"2007-01-01 00:30:00",17.2,17.1191401547706,243.9681657,1.23392831128661,72.41876483,0.0930232558139535,100.016666666667
"2007-01-01 00:40:00",16.5,16.4242670189631,242.4237309,1.23434222359682,73.38461459,0.0848484848484848,100.013333333333
"2007-01-01 00:50:00",17.1,17.0236454923523,241.7665484,1.23480618489076,75.32008767,0.087719298245614,100.016666666667
"2007-01-01 01:00:00",17.7,17.6227504200626,241.5833951,1.23518127640551,76.43312573,0.096045197740113,100.013333333333
"2007-01-01 01:10:00",18.3,18.2208550897389,240.8846005,1.23532838425563,77.15577722,0.0819672131147541,100.013333333333
"2007-01-01 01:20:00",18.4,18.3206883059765,239.9724488,1.23538213313949,77.50767946,0.0815217391304348,100.013333333333
"2007-01-01 01:30:00",18.4,18.3215216928718,239.8677537,1.23555072911642,77.76714444,0.0869565217391304,100.016666666667
"2007-01-01 01:40:00",18.7,18.6211815587349,240.5769854,1.2357377415949,78.23925853,0.0802139037433155,100.016666666667
"2007-01-01 01:50:00",19.4,19.3180009926575,239.9522938,1.23569357711988,77.93595314,0.0927835051546392,100.016666666667
"2007-01-01 02:00:00",19.1,19.0186866592745,240.8697851,1.23558007187826,76.83481813,0.0890052356020942,100.016666666667
"2007-01-01 02:10:00",19.7,19.6166353010063,241.861701,1.23567512078102,77.21290469,0.0862944162436548,100.02
"2007-01-01 02:20:00",20.2,20.1139618347012,241.5103982,1.235572358156,76.51822448,0.0841584158415842,100.023333333333
"2007-01-01 02:30:00",19.9,19.8164277580499,242.8397982,1.23579462755672,77.16509938,0.085427135678392,100.02
"2007-01-01 02:40:00",19.2,19.1192376177215,244.130946,1.23576944549173,77.36743331,0.114583333333333,100.02
"2007-01-01 02:50:00",20.4,20.3118545209231,243.1716651,1.23534327884968,75.90367913,0.112745098039216,100.02
"2007-01-01 03:00:00",20.1,20.0124022531555,244.3738173,1.23520467241196,74.74898636,0.0895522388059701,100.02
"2007-01-01 03:10:00",19.8,19.7133618395857,246.1432066,1.23513928909283,73.53775561,0.101010101010101,100.02
"2007-01-01 03:20:00",19.9,19.8137436429346,247.411672,1.23529253417031,73.62940073,0.100502512562814,100.016666666667
"2007-01-01 03:40:00",20.4,20.3134347443164,245.094179,1.23563162330701,72.1372813,0.0931372549019608,100.02
"2007-01-01 03:50:00",20.5,20.4149118231517,247.8155561,1.23597694299515,72.91170776,0.0975609756097561,100.02
"2007-01-01 04:00:00",20.5,20.417349175736,249.3664838,1.23641968866596,72.49394596,0.102439024390244,100.016666666667
"2007-01-01 04:10:00",20.5,20.4186298291387,251.033901,1.23665236202453,71.9658941,0.107317073170732,100.02
"2007-01-01 04:20:00",20.6,20.5186691414603,250.971401,1.2367312414309,71.68222725,0.0970873786407767,100.016666666667
"2007-01-01 04:30:00",19.6,19.5241112520796,247.4045205,1.23701519379366,73.69506002,0.0918367346938775,100.016666666667
"2007-01-01 04:40:00",19.9,19.8223200734959,249.0198085,1.23689732738488,72.09125996,0.0954773869346734,100.02
"2007-01-01 04:50:00",20,19.9235406966241,249.9084475,1.23719741446058,72.58360863,0.1,100.02
"2007-01-01 05:00:00",19.8,19.7243305060402,252.4417086,1.23720215952246,70.25398314,0.101010101010101,100.02
"2007-01-01 05:10:00",19.8,19.7254542152093,253.7090916,1.23741362443615,68.86957765,0.095959595959596,100.02
"2007-01-01 05:20:00",19.7,19.6263120278111,254.7216975,1.23750466847621,68.38595808,0.106598984771574,100.016666666667
"2007-01-01 05:30:00",18.8,18.7299984450885,254.8638177,1.2375680909513,68.40162993,0.132978723404255,100.016666666667
"2007-01-01 05:40:00",19.5,19.4286406090147,256.2563027,1.23780672299834,68.67795408,0.0974358974358974,100.016666666667
"2007-01-01 05:50:00",20.3,20.2288812368959,259.5295952,1.23838849103696,68.44685733,0.0886699507389163,100.02
"2007-01-01 06:00:00",19.9,19.8298639362259,258.4368838,1.23831005836632,67.08645403,0.0904522613065327,100.02
"2007-01-01 06:10:00",19.8,19.7336455680678,259.9947205,1.23895584008771,69.15542483,0.095959595959596,100.016666666667
