"time","V","Vadj","D","rho","I","S","normPW"
"2008-01-01 00:00:00",8.9,8.89557141527122,217.9,1.23931232302788,0.098876404494382,0.28373113924561,64.0909090909091
"2008-01-01 00:10:00",9.9,9.89595232855713,210.1,1.2396424392034,0.0676767676767677,0.252274236848413,70.7818181818182
"2008-01-01 00:20:00",10.7,10.697579191734,206.2,1.240321961629,0.100934579439252,0.175057763272416,92.9636363636364
"2008-01-01 00:30:00",11.1,11.0994906851777,205.6,1.24099334631546,0.0963963963963964,0.208260025816798,97.6424242424242
"2008-01-01 00:40:00",11.2,11.2000111916888,207.8,1.24116790875486,0.0785714285714286,0.200987185313808,91.0242424242424
"2008-01-01 00:50:00",11.5,11.503004519714,207.4,1.2421372514906,0.0826086956521739,0.16142933677196,96.6727272727273
"2008-01-01 01:00:00",11.3,11.3052495989148,205.4,1.24289480082994,0.0778761061946903,0.204662292666349,95.6484848484849
"2008-01-01 01:10:00",10.5,10.5070191242519,203.4,1.24365496251927,0.0971428571428571,0.198703907254992,85.2363636363636
"2008-01-01 01:20:00",11.1,11.1109730253035,205.1,1.24484872694325,0.100900900900901,0.137253816384081,96.5818181818182
"2008-01-01 01:30:00",10.4,10.4127377816511,207.7,1.24573026008205,0.0625,0.173170519683666,77.4969696969697
"2008-01-01 01:40:00",10.3,10.3158195778418,198.7,1.24689181874551,0.1,0.207917812408489,79.8848484848485
"2008-01-01 01:50:00",11.4,11.4186418601871,183.1,1.24726299478014,0.134210526315789,0.18374201714911,94.2787878787879
"2008-01-01 02:00:00",12.9,12.9265252088434,184,1.24883625331973,0.145736434108527,0.163144697157706,100.969696969697
"2008-01-01 02:10:00",14.5,14.5389887184133,189.3,1.25120314723283,0.121379310344828,0.202744497193088,101.393939393939
"2008-01-01 02:20:00",13.8,13.8389198088821,187.9,1.25169510909947,0.146376811594203,0.145679803038483,101.4
"2008-01-01 02:30:00",13.9,13.9430180989933,186.3,1.25272345457052,0.151798561151079,0.172952227701458,101.321212121212
"2008-01-01 02:40:00",13.4,13.4415830991392,188,1.25275488518366,0.143283582089552,0.13633573700867,101.345454545455
