"time","V","Vadj","D","rho","H","I","normPW"
"2007-01-01 00:00:00",17.6,17.5096462067312,243.9626737,1.23224633678054,71.31392558,0.0965909090909091,100.013333333333
"2007-01-01 00:10:00",18.4,18.3115225948294,242.7679837,1.23345505398,74.61032629,0.0923913043478261,100.013333333333
"2007-01-01 00:20:00",17.7,17.6161633494048,244.9351621,1.23372286392342,72.6859659,0.096045197740113,100.013333333333
"2007-01-01 00:30:00",17.2,17.1194817924816,243.9681657,1.23392831128661,72.41876483,0.0872093023255814,100.013333333333
"2007-01-01 00:40:00",16.7,16.6236807869029,242.4237309,1.23434222359682,73.38461459,0.0958083832335329,100.016666666667
"2007-01-01 00:50:00",16.5,16.4266524094377,241.7665484,1.23480618489076,75.32008767,0.0848484848484848,100.013333333333
"2007-01-01 01:00:00",17,16.926143267628,241.5833951,1.23518127640551,76.43312573,0.0941176470588235,100.013333333333
"2007-01-01 01:10:00",17.9,17.8229407091244,240.8846005,1.23532838425563,77.15577722,0.0893854748603352,100.013333333333
"2007-01-01 01:20:00",18.4,18.3210539223544,239.9724488,1.23538213313949,77.50767946,0.0923913043478261,100.013333333333
"2007-01-01 01:30:00",18.1,18.0231609020897,239.8677537,1.23555072911642,77.76714444,0.104972375690608,100.016666666667
"2007-01-01 01:40:00",18.4,18.3228116771628,240.5769854,1.2357377415949,78.23925853,0.0923913043478261,100.02
"2007-01-01 01:50:00",19.4,19.3183865118822,239.9522938,1.23569357711988,77.93595314,0.0824742268041237,100.016666666667
"2007-01-01 02:00:00",19.2,19.1186424680945,240.8697851,1.23558007187826,76.83481813,0.09375,100.016666666667
"2007-01-01 02:10:00",19.9,19.8161844122029,241.861701,1.23567512078102,77.21290469,0.0904522613065327,100.016666666667
"2007-01-01 02:20:00",19.9,19.815635071591,241.5103982,1.235572358156,76.51822448,0.105527638190955,100.02
"2007-01-01 02:30:00",19.9,19.8168232241164,242.8397982,1.23579462755672,77.16509938,0.085427135678392,100.016666666667
"2007-01-01 02:40:00",19.9,19.8166886192479,244.130946,1.23576944549173,77.36743331,0.0954773869346734,100.02
"2007-01-01 02:50:00",19.7,19.6152705645613,243.1716651,1.23534327884968,75.90367913,0.0913705583756345,100.016666666667
"2007-01-01 03:00:00",19.7,19.6145369211239,244.3738173,1.23520467241196,74.74898636,0.0964467005076142,100.016666666667
"2007-01-01 03:10:00",19.6,19.5146264079225,246.1432066,1.23513928909283,73.53775561,0.0969387755102041,100.02
"2007-01-01 03:20:00",19.8,19.7145705174686,247.411672,1.23529253417031,73.62940073,0.095959595959596,100.02
"2007-01-01 03:40:00",20.5,20.4134177765816,245.094179,1.23563162330701,72.1372813,0.0926829268292683,100.016666666667
"2007-01-01 03:50:00",20.7,20.6144930790253,247.8155561,1.23597694299515,72.91170776,0.0869565217391304,100.016666666667
"2007-01-01 04:00:00",19.6,19.521367318434,249.3664838,1.23641968866596,72.49394596,0.0969387755102041,100.016666666667
"2007-01-01 04:10:00",20.3,20.2198271929092,251.033901,1.23665236202453,71.9658941,0.108374384236453,100.023333333333
"2007-01-01 04:20:00",20.2,20.1206499106874,250.971401,1.2367312414309,71.68222725,0.0891089108910891,100.02
"2007-01-01 04:30:00",20.4,20.3214192879893,247.4045205,1.23701519379366,73.69506002,0.0931372549019608,100.02
"2007-01-01 04:40:00",20.3,20.2211622030246,249.0198085,1.23689732738488,72.09125996,0.108374384236453,100.013333333333
"2007-01-01 04:50:00",20.2,20.1231776832902,249.9084475,1.23719741446058,72.58360863,0.103960396039604,100.016666666667
"2007-01-01 05:00:00",20.2,20.1232034096079,252.4417086,1.23720215952246,70.25398314,0.103960396039604,100.02
"2007-01-01 05:10:00",19.2,19.1280949001352,253.7090916,1.23741362443615,68.86957765,0.09375,100.02
"2007-01-01 05:20:00",19.4,19.3278198871497,254.7216975,1.23750466847621,68.38595808,0.0876288659793815,100.013333333333
"2007-01-01 05:30:00",18.8,18.7303722298544,254.8638177,1.2375680909513,68.40162993,0.0957446808510638,100.016666666667
"2007-01-01 05:40:00",19.4,19.3293922934664,256.2563027,1.23780672299834,68.67795408,0.108247422680412,100.016666666667
"2007-01-01 05:50:00",19.9,19.830678334394,259.5295952,1.23838849103696,68.44685733,0.085427135678392,100.016666666667
"2007-01-01 06:00:00",20.4,20.328507400844,258.4368838,1.23831005836632,67.08645403,0.0931372549019608,100.016666666667
"2007-01-01 06:10:00",19,18.9367044575645,259.9947205,1.23895584008771,69.15542483,0.0894736842105263,100.016666666667
"2007-01-01 06:20:00",20.2,20.1343365524012,260.0684785,1.23925673848604,69.25460815,0.0891089108910891,100.016666666667
