electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,region,locality,owner,site_name
1.2,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.4167,50.1833,Praha-východ,250 67,Středočeský,Klecany,"Povodí Vltavy, státní podnik",MVE Klecany
1.329,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.5,48.85,České Budějovice,373 24,Jihočeský,Římov,"Povodí Vltavy, státní podnik",MVE Římov
0.018,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.7333,48.7667,České Budějovice,373 35,Jihočeský,Horní Stropnice,"Povodí Vltavy, státní podnik",MVE Humenice
0.222,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,13.1833,50.15,Karlovy Vary,364 52,Karlovarský,Žlutice,"Povodí Vltavy, státní podnik",MVE Žlutice
0.432,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.05,49.2833,Klatovy,340 22,Plzeňský,Nýrsko,"Povodí Vltavy, státní podnik",MVE Nýrsko
0.15,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,12.6,49.7833,Tachov,347 01,Plzeňský,Halže,"Povodí Vltavy, státní podnik",MVE Lučina
0.03,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.4833,50.35,Mělník,276 01,Středočeský,Hořín,"Povodí Vltavy, státní podnik",MVE Hořín
0.055,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.6786,49.1893,Tábor,391 81,Jihočeský,Veselí nad Lužnicí,"Povodí Vltavy, státní podnik",MVE Veselí nad Lužnicí
0.165,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ06,CZ063,15.2333,49.5333,Pelhřimov,394 44,Vysočina,Želiv,"Povodí Vltavy, státní podnik",MVE Trnávka
4.98,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.35,50.2,Praha-západ,252 66,Středočeský,Libčice nad Vltavou,"Povodí Vltavy, státní podnik",MVE Libčice - Dolany
1.296,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ01,CZ010,14.3889,50.1278,,160 00,Hlavní město Praha,Praha 6,"Povodí Vltavy, státní podnik",MVE Podbaba
0.3,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.2333,48.6333,Český Krumlov,382 78,Jihočeský,Lipno nad Vltavou,"Povodí Vltavy, státní podnik",MVE Lipno
0.16,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.3333,48.7167,Český Krumlov,382 11,Jihočeský,Větřní,"Povodí Vltavy, státní podnik",MVE Větřní
0.075,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.2667,48.6667,Český Krumlov,382 76,Jihočeský,Loučovice,"Povodí Vltavy, státní podnik",MVE Loučovice
5.67,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ01,CZ010,14.4001,50.1019,,170 00,Hlavní město Praha,Praha,"Povodí Vltavy, státní podnik",VE Štvanice
0.48,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,15.15,49.75,Kutná Hora,285 22,Středočeský,Zruč nad Sázavou,"Povodí Vltavy, státní podnik",MVE Želivka
2.5,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.3667,50.3167,Mělník,277 44,Středočeský,Vojkovice,"Povodí Vltavy, státní podnik",MVE Vraňany
2.8,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ01,CZ010,14.4001,50.1019,,170 00,Hlavní město Praha,Praha,"Povodí Vltavy, státní podnik",MVE Troja
0.266,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.3761,49.7468,Plzeň-město,301 00,Plzeňský,Plzeň,"Povodí Vltavy, státní podnik",MVE České Údolí
0.2,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.5333,49.75,Rokycany,338 41,Plzeňský,Klabava,"Povodí Vltavy, státní podnik",MVE Klabava
0.013,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.4033,50.5653,Semily,512 02,Liberecký,Košťálov,,MVE Nosek Jaroslav
0.019,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,12.7667,49.9,Tachov,348 15,Plzeňský,Planá,,MVE Černý Mlýn
0.33,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,15.85,50.7,Trutnov,542 26,Královéhradecký,Horní Maršov,,MVE Temný Důl
0.195,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ07,CZ071,17.1,50.0833,Šumperk,788 11,Olomoucký,Loučná nad Desnou,,MVE - Loučná II
0.029,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ053,16.5667,50.0667,Ústí nad Orlicí,561 64,Pardubický,Jablonné nad Orlicí,,MVE - Mistrovice
0.06,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.0,49.1833,Strakonice,386 01,Jihočeský,Mutěnice,,MVE Mutěnice
0.075,Renewable energy,Hydro,,Run-of-river,ERU,,,,,,Olomouc, ,Olomoucký,Litovel,,MVE Šargoun
0.035,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.2667,50.75,Jablonec nad Nisou,468 43,Liberecký,Jiřetín pod Bukovou,,MVE Kamenice - Jiřetín
0.17,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.7167,49.8667,Benešov,257 22,Středočeský,Čerčany,HydroEnergy s.r.o.,MVE Spálený Mlýn Čerčany
0.055,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,16.2333,50.5167,Náchod,549 64,Královéhradecký,Bezděkov nad Metují,,Elektrárna Kozínek
0.033,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.4833,49.7,Plzeň-jih,332 02,Plzeňský,Starý Plzenec,,MVE Sedlecké Rybníky
0.03,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ08,CZ080,17.3111,50.1722,Bruntál,793 26,Moravskoslezský,Vrbno pod Pradědem,,MVE Bílý Potok
0.03,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.85,50.2667,Karlovy Vary,360 17,Karlovarský,Karlovy Vary,,MVE Karlovy Vary-Stará Role
0.2,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.3167,50.5333,Jablonec nad Nisou,468 41,Liberecký,Smržovka,KREDIT CENTRUM s.r.o.,MVE Smržovka
0.756,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.3167,50.5333,Jablonec nad Nisou,468 41,Liberecký,Tanvald,KREDIT CENTRUM s.r.o.,MVE Popelnice
0.25,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.3167,50.7,Jablonec nad Nisou,468 46,Liberecký,Plavy,KREDIT CENTRUM s.r.o.,MVE Plavy
0.608,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.46,50.6603,Semily,512 42,Liberecký,Poniklá,KREDIT CENTRUM s.r.o.,MVE Poniklá
0.496,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.3667,50.6,Semily,512 06,Liberecký,Benešov u Semil,KREDIT CENTRUM s.r.o.,MVE Benešov u Semil
0.21,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.1167,50.5833,Semily,512 61,Liberecký,Přepeře,KREDIT CENTRUM s.r.o.,MVE Přepeře
0.544,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.9,50.45,Mladá Boleslav,293 07,Středočeský,Josefův Důl,KREDIT CENTRUM s.r.o.,MVE Josefův Důl
0.99,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,15.7833,50.1833,Hradec Králové,503 32,Královéhradecký,Hradec Králové,"VÍT a SPOL, spol. s r.o.",MVE Březhrad
0.03,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.3833,49.4833,Klatovy,340 12,Plzeňský,Červené Poříčí,,MVE Červené Poříčí
0.105,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,15.9167,50.5167,Trutnov,541 01,Královéhradecký,Trutnov,"MVE Šestidomí, spol. s r.o.",MVE Šestidomí
0.426,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,15.9,50.5833,Trutnov,541 02,Královéhradecký,Trutnov 4,"MVE Šestidomí, spol. s r.o.",MVE Zelená Louka
0.07,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ08,CZ080,18.3167,49.5833,Frýdek-Místek,739 11,Moravskoslezský,Frýdlant nad Ostravicí,,"MVE Frýdlant nad Ostravicí, Nová Dědina"
1.7,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.85,50.1833,Nymburk,289 22,Středočeský,Lysá nad Labem,"PREDAX FINANCE,s.r.o.",MVE Tři Chaloupky Lysá nad Labem
0.007,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.2167,50.7333,Jablonec nad Nisou,468 71,Liberecký,Lučany nad Nisou,,Malá vodní elektrárna Lučany nad Nisou
0.022,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ06,CZ063,15.9,49.2,Třebíč,674 01,Vysočina,Třebíč,,MVE - Sokolí
120.0,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.2333,48.6333,Český Krumlov,382 78,Jihočeský,Lipno nad Vltavou,"ČEZ, a. s.",Vodní elektrárna Lipno I
1.5,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.2333,48.6333,Český Krumlov,382 78,Jihočeský,Vyšší Brod,"ČEZ, a. s.",Vodní elektrárna Lipno II
9.6,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.4159,49.2266,České Budějovice,375 01,Jihočeský,Týn nad Vltavou,"ČEZ, a. s.",Vodní elektrárna Hněvkovice
3.8,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.4159,49.2266,České Budějovice,375 01,Jihočeský,Týn nad Vltavou,"ČEZ, a. s.",Vodní elektrárna Kořensko I
0.94,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.4159,49.2266,České Budějovice,375 01,Jihočeský,Týn nad Vltavou,"ČEZ, a. s.",Vodní elektrárna Kořensko II
364.0,Renewable energy,Hydro,,Run-of-river,ERU,,,,,,Příbram,262 33,Středočeský,Solenice,"ČEZ, a. s.",Vodní elektrárna Orlík
40.0,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.2333,49.6167,Příbram,262 63,Středočeský,Kamýk nad Vltavou,"ČEZ, a. s.",Vodní elektrárna Kamýk
144.0,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.4333,49.8333,Praha-západ,252 08,Středočeský,Slapy nad Vltavou,"ČEZ, a. s.",Vodní elektrárna Slapy
22.5,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.4,49.85,Praha-západ,252 07,Středočeský,Štěchovice,"ČEZ, a. s.",Vodní elektrárna Štěchovice I
13.88,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.3833,49.9333,Praha-západ,252 46,Středočeský,Vrané nad Vltavou,"ČEZ, a. s.",Vodní elektrárna Vrané
1.76,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ06,CZ063,16.1333,49.1333,Třebíč,675 77,Vysočina,Kramolín,"ČEZ, a. s.",Vodní elektrárna Mohelno
0.163,Renewable energy,Hydro,,Run-of-river,ERU,,,,,,Šumperk,788 12,Olomoucký,Loučná nad Desnou,"ČEZ, a. s.",Vodní elektrárna Dlouhé Stráně II
0.66,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.2833,50.3667,Chomutov,432 01,Ústecký,Kadaň,"ČEZ, a. s.",Vodní V
0.01,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ053,16.3333,49.85,Svitavy,570 01,Pardubický,Tržek,,MVE TRŽEK
0.03,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.2167,49.1667,Písek,398 11,Jihočeský,Protivín,,MVE Milenovice
0.075,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,14.1528,50.7278,Děčín,405 02,Ústecký,Děčín,,MVE Děčín - Staré město
0.011,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ06,CZ063,15.9833,49.45,Žďár nad Sázavou,594 44,Vysočina,Radostín nad Oslavou,,Pavel Švoma - MVE
10.0,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.4333,50.3333,Chomutov,431 57,Ústecký,Chbany,"Povodí Ohře, státní podnik",HC Nechranice
2.15,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.2833,50.3667,Chomutov,432 01,Ústecký,Kadaň,"Povodí Ohře, státní podnik",HC Kadaň
0.692,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.75,50.4667,Most,434 01,Ústecký,Most,"Povodí Ohře, státní podnik",MVE Ervěnický koridor
0.33,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.75,50.4667,Most,434 01,Ústecký,Most,"Povodí Ohře, státní podnik",MVE PVN - Třebušice
0.306,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.4667,50.5167,Chomutov,431 11,Ústecký,Jirkov,"Povodí Ohře, státní podnik",MVE Jirkov - Skluz
0.149,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.2167,50.3667,Chomutov,431 51,Ústecký,Klášterec nad Ohří,"Povodí Ohře, státní podnik",MVE Klášterec
0.194,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.4667,50.5167,Chomutov,431 11,Ústecký,Jirkov,"Povodí Ohře, státní podnik",MVE Jirkov - VD
0.09,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.5,50.4833,Chomutov,431 15,Ústecký,Vrskmaň,"Povodí Ohře, státní podnik",MVE Újezd
0.052,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.8,50.6167,Teplice,417 71,Ústecký,Zabrušany,"Povodí Ohře, státní podnik",MVE Všechlapy
0.018,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.0778,50.4389,Chomutov,431 91,Ústecký,Kryštofovy Hamry,"Povodí Ohře, státní podnik",MVE Přísečnice - RH
0.019,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.5667,50.6167,Most,436 01,Ústecký,Český Jiřetín,"Povodí Ohře, státní podnik",MVE Fláje
0.29,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.8,50.2167,Karlovy Vary,360 01,Karlovarský,Březová,"Povodí Ohře, státní podnik",MVE Březová
0.315,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.4647,50.0748,Cheb,350 02,Karlovarský,Okrouhlá,"Povodí Ohře, státní podnik",MVE Jesenice
0.144,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.4333,50.2333,Cheb,351 34,Karlovarský,Cheb,"Povodí Ohře, státní podnik",MVE Jindřichov
0.09,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.75,50.1833,Sokolov,357 33,Karlovarský,Loket,"Povodí Ohře, státní podnik",MVE Loket
0.7,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.4647,50.0748,Cheb,350 02,Karlovarský,Cheb,"Povodí Ohře, státní podnik",MVE Skalka
0.179,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.4333,50.2333,Cheb,351 34,Karlovarský,Skalná,"Povodí Ohře, státní podnik",MVE Horka
0.083,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.8,50.2167,Karlovy Vary,360 01,Karlovarský,Stanovice,"Povodí Ohře, státní podnik",MVE Stanovice
0.115,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.4647,50.0748,Cheb,350 02,Karlovarský,Cheb,"Povodí Ohře, státní podnik",MVE Cheb
0.8,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,14.1667,50.45,Litoměřice,411 82,Ústecký,Doksany,"Povodí Ohře, státní podnik",MVE Doksany
0.25,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.55,50.2,Sokolov,357 09,Karlovarský,Habartov,"Povodí Ohře, státní podnik",MVE Horka - nová MVE
0.125,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,13.5667,50.5833,Most,435 42,Ústecký,Litvínov,"Povodí Ohře, státní podnik",MVE Janov
0.022,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ06,CZ063,15.9167,49.6667,Žďár nad Sázavou,591 01,Vysočina,Hamry nad Sázavou,,MVE - Najdek
0.008,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,12.15,50.2833,Cheb,352 01,Karlovarský,Podhradí,,MVE MARAK PODHRADÍ U AŠE
0.26,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.4333,49.4,Ostrava-město,703 00,Moravskoslezský,Ostrava,,MVE Ostrava - Vítkovice
0.8,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.3639,50.7681,Jablonec nad Nisou,468 49,Liberecký,Kořenov,První elektrárenská Liberec spol. s r.o.,MVE Kořenov
0.022,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ053,16.3333,49.85,Svitavy,570 01,Pardubický,Tržek,,MVE Luka
0.105,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ053,16.2333,50.0333,Ústí nad Orlicí,565 01,Pardubický,Choceň,,MVE - Mlýn Choceň
0.085,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.25,50.7667,Jablonec nad Nisou,468 44,Liberecký,Josefův Důl,,MVE ANTONÍNOV
0.055,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ053,16.55,50.1,Ústí nad Orlicí,561 82,Pardubický,Klášterec nad Orlicí,,MVE Klášterec nad Orlicí
0.03,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.3136,50.7589,Jablonec nad Nisou,468 61,Liberecký,Desná,,DESNÁ
0.037,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.1908,50.8736,Liberec,463 62,Liberecký,Hejnice,,MVE - HEJNICE
0.047,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ07,CZ071,16.8,49.8333,Šumperk,789 01,Olomoucký,Jedlí,,"MVE - JEDLÍ, NA VODÁCH"
0.15,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ07,CZ071,16.8,49.8333,Šumperk,789 01,Olomoucký,Zábřeh,,"MVE - ZÁBŘEH, U NÁDRAŽÍ"
0.03,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.3136,50.7589,Jablonec nad Nisou,468 61,Liberecký,Desná,,Desná
0.044,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.05,49.2833,Klatovy,340 22,Plzeňský,Nýrsko,,MVE Nýrsko - Úhlava
0.044,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ07,CZ071,17.0167,49.9833,Šumperk,788 13,Olomoucký,Vikýřovice,,"MVE - Vikyřovice,Křenišovská"
0.41,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.3667,50.6,Semily,512 06,Liberecký,Benešov u Semil,,MALÁ VODNÍ ELEKTRÁRNA BENEŠOV U SEMIL
0.055,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.4833,49.8,Plzeň-sever,330 11,Plzeňský,Nadryby,,MVE NADRYBY I
0.044,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.4833,49.8,Plzeň-sever,330 11,Plzeňský,Nadryby,,MVE NADRYBY II
0.044,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.4833,49.8,Plzeň-sever,330 11,Plzeňský,Nadryby,,MVE NADRYBY III
0.015,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.2167,48.9167,Český Krumlov,382 03,Jihočeský,Křemže,,MVE Křemže 30
0.022,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ08,CZ080,17.25,49.85,Bruntál,793 51,Moravskoslezský,Břidličná,,MVE VELKÁ ŠTÁHLE 142
0.225,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.4667,49.3333,Tábor,391 65,Jihočeský,Dobronice u Bechyně,,MVE DOBRONICE
0.03,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,16.4167,50.15,Rychnov nad Kněžnou,517 57,Královéhradecký,Pěčín,,MVE PĚČÍN
0.028,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ06,CZ063,15.2667,49.5667,Pelhřimov,396 01,Vysočina,p. Humpolec,,MVE - Rokosův mlýn
0.09,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.2,49.3333,Písek,397 01,Jihočeský,Vrcovice,EKEN spol. s r. o.,MVE - Vrcovice
9.75,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ053,15.8167,49.8833,Chrudim,538 24,Pardubický,Svídnice,"ČEZ Obnovitelné zdroje, s.r.o.",VODNÍ ELEKTRÁRNA PRÁČOV 1
2.4,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.0167,50.6833,Semily,513 01,Liberecký,Semily,"ČEZ Obnovitelné zdroje, s.r.o.",VODNÍ ELEKTRÁRNA SPÁLOV
3.0,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ053,16.55,50.0667,Ústí nad Orlicí,561 63,Pardubický,Nekoř,"ČEZ Obnovitelné zdroje, s.r.o.",VODNÍ ELEKTRÁRNA PASTVINY 1
2.34,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ053,15.5667,50.0167,Pardubice,535 01,Pardubický,Přelouč,"ČEZ Obnovitelné zdroje, s.r.o.",VODNÍ ELEKTRÁRNA PŘELOUČ
0.75,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,15.8442,50.2117,Hradec Králové,500 02,Královéhradecký,Hradec Králové,"ČEZ Obnovitelné zdroje, s.r.o.",VODNÍ ELEKTRÁRNA HRADEC KRÁLOVÉ
3.358,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.4667,50.3,Mělník,277 42,Středočeský,Obříství,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Obříství
3.528,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ06,CZ064,16.525,49.2333,Brno-město,635 00,Jihomoravský,Brno,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Kníničky
2.21,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,15.7833,50.3667,Trutnov,544 01,Královéhradecký,Bílá Třemešná,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Les Království
2.6,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,15.8167,50.25,Hradec Králové,503 02,Královéhradecký,Předměřice nad Labem,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Předměřice
4.0,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ07,CZ072,17.5167,49.15,Zlín,763 64,Zlínský,Spytihněv,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Spytihněv
1.998,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ053,15.9,50.05,Pardubice,530 02,Pardubický,Pardubice,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Pardubice
0.246,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ06,CZ064,16.55,49.2167,Brno-město,624 00,Jihomoravský,Brno,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Komín
6.496,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.5833,49.1167,Klatovy,341 92,Plzeňský,Srní,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Vydra
3.038,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.25,49.7833,Plzeň-sever,330 33,Plzeňský,Úlice,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Hracholusky
1.91,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.2292,49.1458,Klatovy,340 04,Plzeňský,Železná Ruda,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Černé Jezero
0.63,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.3233,49.76,Plzeň-město,312 00,Plzeňský,Plzeň,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Bukovec
19.5,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ042,14.0167,50.6667,Ústí nad Labem,400 01,Ústecký,Ústí nad Labem,"ČEZ Obnovitelné zdroje, s.r.o.",VE Střekov
0.59,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.4333,50.4167,Mělník,277 03,Středočeský,Horní Počaply,"ČEZ Obnovitelné zdroje, s.r.o.",MVE Mělník
0.044,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.0167,50.6833,Semily,513 01,Liberecký,Háje nad Jizerou,,Malá vodní elektrárna - Háje nad Jizerou
0.26,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,15.9333,50.3833,Náchod,552 12,Královéhradecký,Heřmanice,,MVE Čáp a synové
0.037,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ052,16.2667,50.1833,Rychnov nad Kněžnou,516 01,Královéhradecký,Vamberk,,MVE - MLÝN PEKLO N. ZD.
0.055,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ07,CZ071,17.25,50.2667,Jeseník,790 82,Olomoucký,Písečná,,MVE Písečná
0.525,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.55,49.85,Rokycany,338 24,Plzeňský,Břasy,,MVE DAROVÁ
0.18,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.75,49.8833,Rokycany,338 08,Plzeňský,Zvíkovec,,Fišerova elektrárna Zvíkovec
0.037,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ07,CZ071,17.2333,49.6667,Olomouc,783 13,Olomoucký,Liboš,,MVE Liboš
