lat,lon,Band1
42.04166666666666,-81.95833333333333,5.6571255
42.04166666666666,-81.875,5.650357
42.04166666666666,-81.79166666666667,5.6440988
42.04166666666666,-81.70833333333333,5.6372714
42.04166666666666,-81.625,5.6306458
42.04166666666666,-81.54166666666667,5.6239634
42.04166666666666,-81.45833333333333,0.0
42.04166666666666,-81.375,0.0
42.04166666666666,-81.29166666666667,0.0
42.04166666666666,-81.20833333333333,0.0
42.04166666666666,-81.125,0.0
42.04166666666666,-81.04166666666667,0.0
42.04166666666666,-80.95833333333333,0.0
42.04166666666666,-80.875,0.0
42.04166666666666,-80.79166666666667,0.0
42.04166666666666,-80.70833333333333,0.0
42.04166666666666,-80.625,0.0
42.04166666666666,-80.54166666666667,0.0
42.04166666666666,-80.45833333333334,0.0
42.04166666666666,-80.375,0.0
42.04166666666666,-80.29166666666667,0.0
42.04166666666666,-80.20833333333334,0.0
42.04166666666666,-80.125,0.0
42.04166666666666,-80.04166666666667,0.0
42.04166666666666,-79.95833333333334,0.0
42.04166666666666,-79.875,0.0
42.04166666666666,-79.79166666666667,0.0
42.04166666666666,-79.70833333333334,0.0
42.04166666666666,-79.625,0.0
42.04166666666666,-79.54166666666667,0.0
42.04166666666666,-79.45833333333334,0.0
42.04166666666666,-79.375,0.0
42.04166666666666,-79.29166666666667,0.0
42.04166666666666,-79.20833333333334,0.0
42.04166666666666,-79.125,0.0
42.04166666666666,-79.04166666666667,0.0
42.04166666666666,-78.95833333333334,0.0
42.04166666666666,-78.875,0.0
42.04166666666666,-78.79166666666667,0.0
42.04166666666666,-78.70833333333334,0.0
42.04166666666666,-78.625,0.0
42.04166666666666,-78.54166666666667,0.0
42.04166666666666,-78.45833333333334,0.0
42.04166666666666,-78.375,0.0
42.04166666666666,-78.29166666666667,0.0
42.04166666666666,-78.20833333333334,0.0
42.04166666666666,-78.125,0.0
42.04166666666666,-78.04166666666667,0.0
42.04166666666666,-77.95833333333334,0.0
42.04166666666666,-77.875,0.0
42.04166666666666,-77.79166666666667,0.0
42.04166666666666,-77.70833333333334,0.0
42.04166666666666,-77.625,0.0
42.04166666666666,-77.54166666666667,0.0
42.04166666666666,-77.45833333333334,0.0
42.04166666666666,-77.375,0.0
42.04166666666666,-77.29166666666667,0.0
42.04166666666666,-77.20833333333334,0.0
42.04166666666666,-77.12500000000001,0.0
42.04166666666666,-77.04166666666667,0.0
42.04166666666666,-76.95833333333334,0.0
42.04166666666666,-76.87500000000001,0.0
42.04166666666666,-76.79166666666667,0.0
42.04166666666666,-76.70833333333334,0.0
42.04166666666666,-76.62500000000001,0.0
42.04166666666666,-76.54166666666667,0.0
42.04166666666666,-76.45833333333334,0.0
42.04166666666666,-76.37500000000001,0.0
42.04166666666666,-76.29166666666667,0.0
42.04166666666666,-76.20833333333334,0.0
42.04166666666666,-76.12500000000001,0.0
42.04166666666666,-76.04166666666667,0.0
42.12499999999999,-81.95833333333333,5.666139
42.12499999999999,-81.875,5.660388
42.12499999999999,-81.79166666666667,5.6526456
42.12499999999999,-81.70833333333333,5.646276
42.12499999999999,-81.625,5.6403704
42.12499999999999,-81.54166666666667,5.6348243
42.12499999999999,-81.45833333333333,5.631008
42.12499999999999,-81.375,5.626764
42.12499999999999,-81.29166666666667,0.0
42.12499999999999,-81.20833333333333,0.0
42.12499999999999,-81.125,0.0
42.12499999999999,-81.04166666666667,0.0
42.12499999999999,-80.95833333333333,0.0
42.12499999999999,-80.875,0.0
42.12499999999999,-80.79166666666667,0.0
42.12499999999999,-80.70833333333333,0.0
42.12499999999999,-80.625,0.0
42.12499999999999,-80.54166666666667,0.0
42.12499999999999,-80.45833333333334,0.0
42.12499999999999,-80.375,0.0
42.12499999999999,-80.29166666666667,0.0
42.12499999999999,-80.20833333333334,0.0
42.12499999999999,-80.125,0.0
42.12499999999999,-80.04166666666667,0.0
42.12499999999999,-79.95833333333334,0.0
42.12499999999999,-79.875,0.0
42.12499999999999,-79.79166666666667,0.0
42.12499999999999,-79.70833333333334,0.0
42.12499999999999,-79.625,0.0
42.12499999999999,-79.54166666666667,0.0
42.12499999999999,-79.45833333333334,0.0
42.12499999999999,-79.375,0.0
42.12499999999999,-79.29166666666667,0.0
42.12499999999999,-79.20833333333334,0.0
42.12499999999999,-79.125,0.0
42.12499999999999,-79.04166666666667,0.0
42.12499999999999,-78.95833333333334,0.0
42.12499999999999,-78.875,0.0
42.12499999999999,-78.79166666666667,0.0
42.12499999999999,-78.70833333333334,0.0
42.12499999999999,-78.625,0.0
42.12499999999999,-78.54166666666667,0.0
42.12499999999999,-78.45833333333334,0.0
42.12499999999999,-78.375,0.0
42.12499999999999,-78.29166666666667,0.0
42.12499999999999,-78.20833333333334,0.0
42.12499999999999,-78.125,0.0
42.12499999999999,-78.04166666666667,0.0
42.12499999999999,-77.95833333333334,0.0
42.12499999999999,-77.875,0.0
42.12499999999999,-77.79166666666667,0.0
42.12499999999999,-77.70833333333334,0.0
42.12499999999999,-77.625,0.0
42.12499999999999,-77.54166666666667,0.0
42.12499999999999,-77.45833333333334,0.0
42.12499999999999,-77.375,0.0
42.12499999999999,-77.29166666666667,0.0
42.12499999999999,-77.20833333333334,0.0
42.12499999999999,-77.12500000000001,0.0
42.12499999999999,-77.04166666666667,0.0
42.12499999999999,-76.95833333333334,0.0
42.12499999999999,-76.87500000000001,0.0
42.12499999999999,-76.79166666666667,0.0
42.12499999999999,-76.70833333333334,0.0
42.12499999999999,-76.62500000000001,0.0
42.12499999999999,-76.54166666666667,0.0
42.12499999999999,-76.45833333333334,0.0
